X:8.224 Y:8.385
X:7.997 Y:9.082
X:7.551 Y:10.37
X:7.333 Y:10.639
X:6.728 Y:10.739
X:6.259 Y:10.805
X:5.758 Y:10.487
X:5.426 Y:10.568
X:5.544 Y:10.852
X:5.746 Y:11.085
X:5.68 Y:11.191
X:5.594 Y:11.153
X:5.558 Y:11.159
X:5.627 Y:11.87
X:5.832 Y:11.644
X:6.023 Y:11.856
X:5.511 Y:11.726
X:5.076 Y:11.719
X:4.928 Y:11.576
X:4.848 Y:11.271
X:4.507 Y:10.738
X:4.1 Y:10.694
X:4.094 Y:10.492
X:4.688 Y:10.198
X:5.295 Y:10.713
X:5.874 Y:11.072
X:5.895 Y:11.519
X:5.892 Y:11.432
X:5.786 Y:11.165
X:5.356 Y:11.217
X:5.357 Y:11.17
X:5.286 Y:10.945
X:5.437 Y:10.859
X:5.581 Y:10.358
X:6.242 Y:9.242
X:6.289 Y:8.641
X:6.696 Y:8.147
X:6.677 Y:7.383
X:6.754 Y:7.114
X:6.775 Y:6.986
X:7.22 Y:7.056
X:7.151 Y:7.204
X:7.155 Y:7.213
X:7.711 Y:6.785
X:7.931 Y:6.745
X:8.036 Y:6.817
X:8.125 Y:7.401
X:8.726 Y:6.525
X:8.632 Y:6.443
X:8.643 Y:6.657
X:9.354 Y:6.707
X:9.033 Y:6.537
X:9.995 Y:6.419
X:9.456 Y:6.594
X:9.323 Y:6.497
X:8.888 Y:5.763
X:8.1 Y:5.921
X:8.515 Y:5.676
X:9.281 Y:5.889
X:10.307 Y:6.17
X:11.265 Y:6.423
X:12.335 Y:6.706
X:12.501 Y:6.389
X:12.563 Y:5.961
X:13.016 Y:6.134
X:13.422 Y:6.375
X:13.049 Y:6.749
X:13.418 Y:6.605
X:13.882 Y:6.383
X:13.059 Y:6.442
X:12.818 Y:6.502
X:12.572 Y:6.542
X:12.155 Y:6.504
X:11.669 Y:6.002
X:12.106 Y:5.441
X:12.577 Y:5.234
X:12.208 Y:4.469
X:13.217 Y:3.914
X:13.093 Y:3.783
X:13.374 Y:4.231
X:12.753 Y:4.411
X:12.187 Y:4.8
X:11.482 Y:5.443
X:11.409 Y:5.701
X:11.223 Y:5.916
X:11.729 Y:6.826
X:12.322 Y:7.17
X:11.289 Y:6.973
X:10.592 Y:6.996
X:8.657 Y:7.059
X:7.376 Y:7.279
X:7.152 Y:7.078
X:8.178 Y:7.072
X:10.074 Y:7.22
X:11.118 Y:7.191
X:12.604 Y:7.553
X:11.599 Y:7.94
X:10.772 Y:7.556
X:11.945 Y:6.655
X:13.2 Y:6.038
X:14.154 Y:6.001
X:14.508 Y:6.95
X:15.028 Y:6.897
X:15.201 Y:7.016
X:14.213 Y:6.68
X:14.549 Y:6.282
X:14.789 Y:5.759
X:13.561 Y:5.432
X:12.947 Y:4.348
X:12.599 Y:4.393
X:13.21 Y:4.734
X:13.442 Y:5.091
X:13.21 Y:5.611
X:13.016 Y:5.784
X:14.18 Y:5.962
X:14.504 Y:6.294
X:14.118 Y:6.95
X:13.227 Y:7.427
X:12.355 Y:6.994
X:11.832 Y:6.662
X:11.466 Y:6.885
X:11.233 Y:7.335
X:11.616 Y:7.471
X:11.661 Y:6.84
X:11.541 Y:7.243
X:11.167 Y:7.003
X:10.696 Y:7.244
X:10.222 Y:7.968
X:8.555 Y:8.777
X:8.517 Y:8.331
X:7.192 Y:8.4
X:7.122 Y:8.164
X:6.794 Y:7.575
X:6.024 Y:7.735
X:6.139 Y:7.569
X:6.019 Y:7.56
X:6.266 Y:7.812
X:5.657 Y:8.252
X:5.847 Y:8.595
X:6.171 Y:7.92
X:7.002 Y:7.359
X:7.319 Y:7.116
X:7.771 Y:7.141
X:8.238 Y:7.407
X:8.614 Y:7.728
X:8.768 Y:7.998
X:8.864 Y:8.167
X:9.005 Y:8.203
X:8.944 Y:7.837
X:8.658 Y:7.589
X:8.556 Y:7.503
X:8.724 Y:7.518
X:8.581 Y:7.493
X:8.424 Y:7.532
X:8.288 Y:7.643
X:8.174 Y:7.819
X:8.103 Y:7.929
X:7.764 Y:7.916
X:7.57 Y:8.048
X:7.588 Y:7.354
X:7.825 Y:6.754
X:7.789 Y:6.693
X:7.803 Y:6.922
X:8.197 Y:6.964
X:8.82 Y:7.235
X:9.304 Y:7.476
X:9.646 Y:7.361
X:9.209 Y:7.223
X:8.915 Y:7.229
X:8.829 Y:7.206
X:9.476 Y:6.862
X:9.214 Y:7.21
X:8.646 Y:7.246
X:7.897 Y:7.403
X:7.523 Y:7.864
X:7.214 Y:7.969
X:7.553 Y:8.363
X:7.605 Y:8.789
X:7.414 Y:8.664
X:7.07 Y:8.423
X:6.834 Y:7.955
X:6.763 Y:7.731
X:6.572 Y:7.762
X:6.561 Y:7.338
X:6.635 Y:6.98
X:6.846 Y:6.887
X:7.131 Y:6.485
X:6.93 Y:6.36
X:6.922 Y:6.302
X:7.017 Y:6.638
X:7.134 Y:6.621
X:7.403 Y:5.919
X:7.14 Y:5.485
X:7.135 Y:5.181
X:7.275 Y:4.821
X:7.22 Y:5.242
X:7.362 Y:5.002
X:7.54 Y:4.417
X:7.646 Y:4.256
X:8.254 Y:4.388
X:8.601 Y:4.695
X:8.779 Y:5.061
X:8.949 Y:5.185
X:8.891 Y:5.309
X:8.776 Y:5.43
X:8.213 Y:6.116
X:7.935 Y:6.236
X:8.799 Y:6.03
X:9.475 Y:6.074
X:8.554 Y:6.231
X:7.232 Y:5.76
X:5.702 Y:5.083
X:4.779 Y:4.845
X:3.916 Y:4.732
X:3.324 Y:4.765
X:2.95 Y:5.433
X:2.009 Y:6.042
X:1.858 Y:5.185
X:2.359 Y:5.084
X:2.746 Y:5.239
X:2.898 Y:4.757
X:3.1 Y:4.897
X:3.358 Y:4.458
X:2.641 Y:4.49
X:2.572 Y:4.281
X:2.492 Y:4.426
X:2.543 Y:4.308
X:2.663 Y:4.163
X:2.846 Y:4.318
X:2.505 Y:4.438
